West CEI (All Steps Combined) Annual (January-December) 1910-2017,1,2,3,4,5,6,7,8,9,10,11,12
Date,Northern Hemisphere,Southern Hemisphere,Africa,Europe,North America,Oceania,South America ,Atlantic MDR,Caribbean Islands,East N Pacific,Gulf of Mexico,Hawaiian Region
1910,-0.38,-0.72,-0.71,-0.48,0.34,-1.19,-0.28,-0.51,-0.61,-0.3,-0.4,-0.95
1911,-0.33,-0.31,-0.24,-0.39,-0.05,-0.17,-0.57,-0.47,-0.36,0.18,0.5,-0.92
1912,-1.23,-0.14,-0.27,-1.98,-0.28,0.01,-0.2,-0.53,-0.37,-0.5,0.01,-0.02
1913,-0.47,-0.1,-0.19,-0.17,-1.42,0.07,-0.06,-0.69,-0.69,-0.48,-0.57,-0.36
1914,-0.13,0.22,-0.24,-0.98,1.09,0.74,-0.36,-0.24,-0.28,-0.43,-0.17,-0.22
1915,-0.52,-0.18,-0.24,-1.24,0.06,-0.2,-0.21,0.04,-0.06,-0.04,-0.14,-0.33
1916,-0.28,-0.28,-0.2,-0.62,-0.6,-0.84,-0.13,-0.29,-0.32,-1.18,-0.07,-0.94
1917,-0.61,-0.43,-0.39,-0.07,-1.85,-0.41,-0.52,-0.68,-0.45,-0.62,-0.97,-0.01
1918,0.11,-0.3,-0.14,0.52,-0.17,-0.07,-0.74,-0.13,-0.12,0.64,-0.34,-0.13
1919,-0.27,-0.24,-0.18,-0.93,-1.96,-0.16,-0.69,-0.26,-0.34,-0.15,0.63,-0.5
1920,-0.32,-0.21,-0.01,-1.59,0.15,-0.02,-0.35,-0.39,-0.45,-0.32,-0.62,-0.33
1921,0.04,-0.35,0.06,0.22,0.49,-0.67,-0.6,-0.41,-0.38,-0.54,-0.18,-0.65
1922,-0.19,-0.4,-0.19,-1.31,0.07,0.15,-0.88,-0.53,-0.29,-0.23,-0.23,-0.35
1923,0.23,-0.28,0.28,1.03,0.02,-0.72,-0.65,-0.61,-0.62,0.19,-0.35,-0.07
1924,-0.02,-0.44,-0.1,0.51,0.44,-0.37,-0.64,-0.61,-0.48,-0.6,-0.76,-0.51
1925,-0.1,-0.42,-0.27,-0.55,-1.92,-0.63,-0.5,-0.34,-0.21,-0.17,0.54,-0.41
1926,0.12,0.06,0.4,-0.25,0.3,0.37,-0.19,0.03,-0.01,-0.6,0.4,0.2
1927,0.57,0.07,0.48,0.03,0.39,0.18,-0.26,0.26,0.09,-0.21,0.12,-0.48
1928,0.12,0.07,0.5,-0.29,0.07,0.23,-0.3,-0.27,-0.22,0.03,0.43,-0.37
1929,0.24,-0.1,0.17,0.78,0.53,-0.56,-0.33,-0.31,-0.47,-0.08,-0.63,0.23
1930,0,-0.18,0.44,0.39,-0.88,-0.1,-0.42,0.05,-0.18,0.15,-0.17,0.21
1931,0.63,-0.21,0.26,-0.71,1.19,-1.08,0.02,0.07,-0.04,0.17,0.29,0.1
1932,0.35,-0.25,0.37,0.81,-0.84,-0.78,-0.13,0.3,0.21,-0.34,-0.31,-0.57
1933,-0.03,-0.02,0.43,0.32,-0.65,-0.07,-0.31,0,-0.08,-0.79,0.12,-0.81
1934,0.24,-0.51,0.06,0.89,0.75,-0.57,-0.75,-0.17,0,0.28,0.46,0.04
1935,0.29,-0.12,0.18,0.91,-0.49,0.04,-0.74,-0.34,-0.28,0.04,0,0.37
1936,0.15,-0.13,-0.17,-1.52,-0.82,0.02,-0.17,0.01,0.01,0.21,0.5,-0.08
1937,0.48,-0.06,0.28,0.7,0.27,0.48,-0.51,0.38,0.36,0.11,0.26,0.03
1938,0.49,0.13,0.33,0.98,1.63,0.66,-0.34,-0.08,-0.17,0.25,-0.34,0.27
1939,-0.21,-0.31,0.28,-0.73,-0.75,-0.83,-0.13,0.13,0.25,0.28,0.4,-0.31
1940,0.01,-0.07,-0.01,-0.54,0.97,0.83,-0.6,0.54,0.25,0.31,-0.35,0.63
1941,0.32,0.24,0.49,-1.24,0.35,-0.73,0.31,0.4,0.32,0.48,1.05,0.49
1942,0.35,-0.26,-0.06,0.71,0.82,-0.35,-0.14,0.26,0.26,-0.53,-0.16,0.52
1943,0.49,0.08,0.16,1.15,0.76,-0.11,0.01,0.22,0.18,0.17,-0.43,0.12
1944,0.34,0.32,0.25,0.47,0.98,-0.03,0.23,0.31,0.18,0.3,0.66,0
1945,0.26,0.07,-0.31,-0.39,0.17,-0.76,0.53,0.05,0.03,-0.32,-0.17,0.03
1946,0,-0.2,0.11,-1.37,-0.09,-0.81,-0.18,-0.16,0.01,0.04,0.7,0.4
1947,0.76,-0.26,0.24,-0.56,2.03,-0.91,-0.32,-0.32,-0.13,-0.43,0.35,0.53
1948,0.16,-0.13,-0.23,-0.07,0.35,-0.1,-0.22,-0.06,0.03,-0.24,-0.52,-0.5
1949,0.16,-0.34,0.03,0.71,0.01,-0.4,-0.71,0.05,0.01,-0.46,0.56,-0.7
1950,-0.17,-0.63,-0.61,-0.19,0.48,-0.92,-0.66,-0.07,-0.18,-0.29,0.25,-0.12
1951,0.17,0.04,-0.17,-0.96,-0.66,-0.26,0.15,0.13,0.18,0.8,0.4,0
1952,-0.36,-0.13,0.09,-0.28,-0.05,-0.56,-0.14,0.31,0.44,0.3,-0.67,-0.32
1953,0.24,-0.15,-0.11,0.87,0.95,-0.14,-0.35,0.22,0.17,0.17,0.15,-0.43
1954,0.1,-0.11,-0.34,0.19,0.48,-0.08,-0.48,-0.33,-0.44,-0.16,0.44,0.1
1955,0.23,-0.49,-0.28,0.43,0.45,-0.22,-0.69,0.28,0.11,-0.71,0.33,-1.06
1956,-0.45,-0.45,-0.52,-0.57,-0.07,-1.11,-0.43,-0.08,-0.03,-0.15,0.16,-0.22
1957,-0.19,0.2,-0.22,0.23,-0.45,0.44,0.25,0.42,0.39,0.61,-0.07,0.15
1958,-0.1,-0.05,-0.17,0.47,0.09,-0.35,0.17,0.29,0.33,0.51,0.65,0.23
1959,-0.36,0.11,-0.17,-0.64,-0.97,0.1,0.06,-0.03,0.23,0.41,0.68,0.29
1960,-0.12,0.21,0.32,0.09,0.44,0.21,0.15,0.08,0.3,0.21,0.81,0.23
1961,-0.5,0.42,-0.32,1.32,-0.54,1,0.29,-0.01,0.06,0.25,-0.47,0.12
1962,0.18,-0.02,0.18,0.68,1.19,-0.09,-0.2,0.12,0.31,-0.28,0.99,-0.17
1963,0.66,0.28,-0.1,0.3,2.16,0.14,0.38,0.31,0.34,0.4,-0.14,0.2
1964,-0.52,-0.57,-0.57,0.14,0.12,-1.11,-0.51,-0.1,-0.02,-0.28,-0.57,-0.18
